0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
4.036040000000000183e-01 1.910830000000000167e-02 0.000000000000000000e+00
9.225229999999999819e-01 3.821660000000000335e-02 0.000000000000000000e+00
1.412609999999999921e+00 7.643310000000000382e-02 0.000000000000000000e+00
1.787390000000000034e+00 1.173889999999999934e-01 0.000000000000000000e+00
2.190990000000000215e+00 1.719749999999999890e-01 0.000000000000000000e+00
2.565770000000000106e+00 2.547769999999999757e-01 0.000000000000000000e+00
3.315319999999999823e+00 4.522289999999999921e-01 0.000000000000000000e+00
4.353150000000000297e+00 7.707009999999999694e-01 0.000000000000000000e+00
5.506310000000000038e+00 1.114649999999999919e+00 0.000000000000000000e+00
6.342340000000000089e+00 1.360929999999999973e+00 0.000000000000000000e+00
7.284080000000000332e+00 1.619960000000000067e+00 0.000000000000000000e+00
7.918319999999999581e+00 1.798300000000000010e+00 0.000000000000000000e+00
8.475680000000000547e+00 1.959659999999999958e+00 0.000000000000000000e+00
